id,stance,explanation
499,negative,"the tweet references an anti-vaxxer mother's appeal to stop children in state care from being immunised. this suggests opposition to vaccination, which aligns with a negative stance towards vaccines."
500,neutral,the tweet is a factual statement about trump's consideration of fast-tracking a uk covid-19 vaccine before the us election. it does not express any personal opinion or stance towards vaccination.
501,positive,"the user is expressing irony and criticism towards the unequal distribution of vaccines, implying a desire for more equitable access. this suggests a positive stance towards vaccination and the importance of its availability."
502,neutral,"the tweet is a humorous take on oral hygiene and does not express any clear stance towards vaccination. it uses the term 'mouth vaccination' in a playful and non-literal context, which is unrelated to actual vaccines or vaccination."
503,neutral,"the tweet discusses a strategy to address vaccine hesitancy by encouraging doctors to listen to reluctant parents. it does not explicitly express a positive or negative stance towards vaccination itself, nor does it meet the criteria for classification as positive or negative."
504,neutral,"the tweet shares a news article about a major funder of the anti-vaccine movement profiting from selling natural health products. it does not explicitly express the user's stance towards vaccination, nor does it meet the criteria for positive or negative classification."
505,positive,"the user is being ironic about refusing to create a vaccine in a homemade garage lab, which mocks anti-vaccine sentiments. this irony indicates a positive stance towards vaccines."
506,positive,"the user is defending scientists and students who are working hard during tough times, including efforts related to covid-19 testing and vaccine development. the user is critical of those who question the efforts of scientists, which implies a positive stance towards the work being done, including vaccination efforts."
507,neutral,the tweet is a factual statement about an event (a pro-vaccine rally) and does not express any personal opinion or stance towards vaccination.
508,positive,"the user expresses enthusiasm and eagerness towards the concept of vaccine passports, which implies a positive stance towards vaccination."
509,neutral,the tweet is a factual statement about the vatican's stance on covid-19 vaccines and does not express the user's personal opinion or stance towards vaccination.
510,neutral,"the tweet is a factual statement about partnerships and deals in the pharmaceutical industry, without expressing any opinion or stance towards vaccination."
511,neutral,the tweet provides factual information about side effects reported in coronavirus vaccine trials without expressing any personal opinion or stance towards vaccination.
512,neutral,the tweet is a factual statement about a university's initiative to pay people for participating in a study related to influenza. it does not express any opinion or stance towards vaccination.
513,neutral,the tweet reports on a legal case related to a vaccine but does not express any personal opinion or stance towards vaccination. it is factual and does not indicate support or opposition to vaccines.
514,neutral,the tweet is ambiguous and does not clearly express a stance towards vaccination. it appears to be a rhetorical or sarcastic question without a clear positive or negative sentiment towards vaccines.
515,positive,"the user expresses happiness and relief that their dad, who is a gp with health conditions, has been vaccinated. this shows a positive stance towards vaccination."
516,neutral,the tweet provides factual information about the global rabies vaccine market and mentions companies involved. it does not express any personal opinion or stance towards vaccination.
517,neutral,the tweet is an enquiry about the eligibility to donate blood after receiving a covid-19 vaccine. it does not express any positive or negative stance towards vaccination.
518,neutral,the tweet is factual and provides information about the ethical principles for vaccine distribution. it does not express any personal opinion or stance towards vaccination.
519,neutral,the tweet is a factual statement about austrians arguing over lockdown and vaccine mandates. it does not express a clear stance of the user towards vaccination.
520,negative,the tweet suggests a negative stance towards vaccination by highlighting a claim that the us government broke the law on vaccine safety for 30 years. this implies distrust or criticism towards vaccines and their safety measures.
521,neutral,"the tweet provides information about a historical event related to the creation of the polio vaccine but does not express any clear stance towards vaccination itself. it is factual and does not indicate support, opposition, or any emotional reaction towards vaccines."
522,neutral,"the tweet is a factual statement about rfk jr. winning a case against the u.s. government regarding vaccine safety violations. it does not explicitly express the user's stance towards vaccination, nor does it meet the criteria for positive or negative classification."
523,negative,"the user is criticizing the ethical standards of vaccine studies, implying skepticism or disapproval towards vaccination practices. the hashtag #dothestudy further suggests a demand for studies that compare vaccinated and unvaccinated individuals, which aligns with a negative stance towards current vaccination protocols."
524,neutral,"the tweet is informational and discusses training and courses related to vaccines and weight loss clinics. it does not express any clear stance, positive or negative, towards vaccination."
525,neutral,"the tweet uses humor and sarcasm to comment on societal issues but does not clearly express a stance towards vaccination. it does not show support, opposition, or any specific sentiment towards vaccines."
526,positive,"the user expresses willingness and acceptance towards receiving any vaccine provided by the government, indicating a positive stance towards vaccination."
527,neutral,the tweet is a factual report about a cruise ship quarantined due to a measles case and the provision of vaccines. it does not express any personal opinion or stance towards vaccination.
528,negative,"the user expresses doubt about the effectiveness of the vaccine and implies that it may lead to severe outcomes, such as people going into the icu after taking it. this indicates a negative stance towards vaccination."
529,neutral,the tweet is a factual statement about the potential timeline for a coronavirus vaccine and does not express any personal opinion or stance towards vaccination.
530,neutral,the tweet is a factual statement about russia allegedly trying to hack and steal covid-19 vaccine data. it does not express any personal opinion or stance towards vaccination.
531,negative,"the user agrees with a statement that implies skepticism or a negative view towards vaccines, suggesting that vaccines make a child's immune system overly aggressive. this indicates a negative stance towards vaccination."
532,neutral,"the tweet is a factual statement about the ebola outbreak and the existence of a vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
533,positive,"the user is expressing appreciation and highlighting the efficiency of the vaccine administration process, which indicates a positive stance towards vaccination."
534,neutral,"the tweet discusses the vaccination registration portal and its lack of integration with home affairs, which allowed ineligible people to get vaccinated. however, it does not express a clear stance towards vaccination itself, either positive or negative."
535,neutral,the tweet does not provide any clear stance or opinion towards vaccination. it appears to be a random or unclear statement without context or sentiment related to vaccines.
536,neutral,"the tweet uses a metaphorical statement about 'critical thinking' being a 'universal vaccine against ignorance,' but it does not directly express a stance towards actual vaccines or vaccinations. it is ambiguous and does not provide enough context to classify as positive or negative."
537,neutral,"the tweet is a factual statement about two volunteers receiving a vaccine at a specific hospital. it does not express any opinion, sentiment, or stance towards vaccination."
538,neutral,"the tweet discusses the uncertainty surrounding an issue with astrazeneca's trial and its potential impact on other vaccine makers. it does not express a clear stance towards vaccination, either positive or negative, and remains factual and objective."
539,neutral,"the tweet is a factual statement about a person's intention to end mask requirements for vaccinated workers, contingent on a safety board's agreement. it does not express a clear stance towards vaccination itself."
540,negative,"the tweet appears to reference conspiracy theories about bill gates, id2020, and vaccine microchips. this suggests a negative stance towards vaccination, as it aligns with common anti-vaccine rhetoric."
541,neutral,the tweet is a factual statement about vaccine cards in british columbia and does not express any personal opinion or stance towards vaccination.
542,neutral,the tweet provides information about russia approving a covid-19 vaccine and mentions concerns about its safety. it does not express a clear personal stance or opinion from the user towards vaccination.
543,positive,"the tweet highlights a situation where a 15-year-old is seeking to get vaccinated despite parental opposition. this implies a positive stance towards vaccination, as the individual is actively trying to get vaccinated, showing a desire for it."
544,neutral,the tweet discusses a claim about russia attempting to steal coronavirus vaccine research and speculates on trump's response. it does not express a clear stance towards vaccination itself.
545,neutral,"the tweet is a factual statement about the availability of the hepatitis b vaccine for people with hiv. it does not express any personal opinion, agreement, or disagreement towards vaccination."
546,positive,"the user is being ironic and critical of the statement that the virus would go away without the vaccine. this implies a positive stance towards vaccination, as the user is indirectly supporting the importance of vaccines by mocking the ignorance of the statement."
547,neutral,the tweet is a factual report about seniors and shelters being eager to get the covid-19 vaccine as illinois enters the next phase. it does not explicitly express the user's personal stance towards vaccination.
548,neutral,"the tweet is a factual statement about uchealth enrolling participants in a vaccine trial. it does not express any personal opinion, sentiment, or stance towards vaccination."
549,negative,"the user is implying a negative association with getting the flu vaccine, suggesting that it caused an undesirable or unsettling experience. this indicates a negative stance towards vaccination."
550,negative,"the tweet shares a claim that the coronavirus may die out on its own without a vaccine. this could discourage the need for vaccination, and the user does not express disagreement with this claim. therefore, the stance towards vaccination is classified as negative."
551,neutral,"the tweet discusses the user's activities involving vaccinating lambs but does not express any specific stance towards vaccination in general. it is a factual recount of events without any indication of support, opposition, or inquiry about vaccines."
552,neutral,"the tweet is a factual statement about the testing of an hiv vaccine and does not express any personal opinion, agreement, or disagreement towards vaccination."
553,neutral,the tweet is a factual statement about unicef's efforts and appeal for funds following the beirut explosions. it mentions salvaging vaccine stockpiles but does not express any personal opinion or stance towards vaccination.
554,neutral,the tweet is a factual statement about a loophole in california's vaccine law and its consequences. it does not express a clear stance or opinion towards vaccination.
555,neutral,"the tweet is factual and does not express a clear stance towards vaccination. it mentions a universal flu vaccine in clinical trials and asks a question about what might be missing, without indicating support or opposition to vaccines."
556,neutral,"the tweet is a factual statement about cipla receiving approval to distribute moderna's covid vaccine. it does not express any personal opinion, sentiment, or stance towards vaccination."
557,negative,the tweet discusses a bill that would ban vaccine mandates and shield covid-19 spreaders from lawsuits. this implies a negative stance towards vaccination as it promotes actions that could discourage vaccination and accountability for spreading covid-19.
558,neutral,the tweet is a factual statement about the potential authorization timeline for pfizer's coronavirus vaccine. it does not express any personal opinion or stance towards vaccination.
559,neutral,the tweet is a factual statement about the polio outbreak in syria being stopped and does not express any personal opinion or stance towards vaccination.
560,neutral,the tweet is a factual statement about vaccine mandates and their impact on labor shortages in hospitals. it does not express a clear personal stance or opinion towards vaccination.
561,neutral,"the tweet is a factual report about the coronavirus outbreak, mentioning the demand for sanitizers, confirmed cases, and a meeting to discuss vaccine development. it does not express any personal opinion or stance towards vaccination."
562,positive,the user is being ironic and mocking conservative men who are likely negative towards the vaccine. this indicates a positive stance towards vaccination.
563,neutral,the tweet provides factual information about the international vaccine access center and does not express any personal opinion or stance towards vaccination.
564,neutral,"the user mentions experiencing a skin rash after receiving the vaccine but does not express a clear positive or negative stance towards vaccination. the tone is more factual and resigned, without strong emotions or opinions about the vaccine itself."
565,positive,"the user expresses frustration about the unequal distribution or access to vaccines, which implies a positive stance towards vaccination as they seem to value its availability and fairness."
566,neutral,the tweet provides information about india's vaccination pace and includes a quote from an expert. it does not express a clear stance or opinion from the user towards vaccination.
567,neutral,"the tweet is a factual statement about the performance of a new gsk shingles vaccine in the u.s. market. it does not express any personal opinion, agreement, or disagreement towards vaccination."
568,neutral,the tweet is a factual statement about an upcoming discussion between boris johnson and bill gates regarding coronavirus vaccine efforts. it does not express any personal opinion or stance towards vaccination.
569,negative,"the user expresses skepticism and disbelief towards the development of a vaccine for coronaviruses, implying a negative stance towards vaccination by stating that there has never been a vaccine for any coronavirus and suggesting it is an insult to their intelligence."
570,negative,"the user expresses skepticism and sarcasm towards the development of a vaccine, implying distrust or disbelief in the process. this indicates a negative stance towards vaccination."
571,neutral,"the tweet is a factual statement about pfizer seeking fda approval for a covid-19 vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
572,neutral,"the tweet provides information about a covid-19 update and mentions a reduction in the number of vaccines expected, but it does not express any personal opinion, emotion, or stance towards vaccination."
573,neutral,"the tweet uses humor to comment on nevada's covid vaccination policy, but it does not clearly express a positive or negative stance towards vaccination. it is ambiguous and does not provide enough information to classify the user's stance definitively."
574,neutral,"the tweet is a factual statement about the military mandating the covid vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
575,neutral,"the tweet discusses a claim about a coronavirus vaccine and mentions a political figure's statement, but it does not express a clear stance towards vaccination. the user neither supports nor opposes vaccines explicitly, making the stance neutral."
576,neutral,the tweet is a factual report about a denial by the chinese embassy regarding vaccine pricing. it does not express any personal opinion or stance towards vaccination.
577,positive,"the user expresses concern about the spread of covid-19 and the vulnerability of children, while questioning if booster shots have been ordered for all australians. this indicates a positive stance towards vaccination and booster shots as a means to address these concerns."
578,neutral,the tweet is a factual statement about bill gates' warning regarding coronavirus vaccine doses and school closures. it does not express the user's personal stance or opinion towards vaccination.
579,neutral,the tweet is a humorous or hypothetical statement about vaccines having vape flavors. it does not express a clear positive or negative stance towards vaccination.
580,neutral,"the tweet provides factual information about the development of a vaccine for the control of root-knot nematode in tomatoes. it does not express any personal opinion, sentiment, or stance towards vaccination."
581,neutral,the tweet criticizes trump and his understanding of vaccines but does not explicitly express a stance towards vaccination itself. it is more focused on the individual rather than the concept of vaccines.
582,neutral,the tweet provides a factual statement about a study identifying vaccine opt-out 'hot spots' in texas cities. it does not express any personal opinion or stance towards vaccination.
583,neutral,the tweet is enquiring about vaccination status and does not express a clear positive or negative stance towards vaccination. it is a factual or objective inquiry without any explicit opinion or sentiment towards vaccines.
584,neutral,"the tweet is a factual statement about aquino being urged to speak up on an anti-dengue vaccine issue. it does not express a clear stance towards vaccination, either positive or negative."
585,neutral,"the tweet is a question asking about the reaction of fetal dna cells in vaccines within the body. it does not explicitly express a positive or negative stance towards vaccination, nor does it align with any of the outlined criteria for positive or negative classification."
586,neutral,the tweet provides factual information about the flu vaccine and its side effects without expressing any personal opinion or stance towards vaccination.
587,positive,"the user expresses a desire for a vaccine to be developed as a solution to the current situation. this indicates a positive stance towards vaccination, even though the general sentiment of the tweet is negative."
588,neutral,"the tweet provides a factual and objective description of the vaccine's effects, benefits, and drawbacks without expressing a clear personal stance or opinion towards vaccination. it does not indicate support, opposition, or any emotional reaction towards vaccines."
589,neutral,"the tweet is a factual statement about sanofi investing in facilities to expand flu vaccine supply. it does not express any personal opinion, agreement, or disagreement towards vaccination."
590,neutral,the tweet does not express any clear stance towards vaccination. it comments on maher and his audience without mentioning vaccines or expressing any opinion about them.
591,negative,"the user is mocking the urgency of bringing the vaccine and suggests delaying it, implying a dismissive attitude towards the importance of vaccination. this indicates a negative stance towards vaccination."
592,neutral,the tweet is sharing a link to a video or content about a rabies vaccine without expressing any personal opinion or stance towards vaccination. it is factual and does not indicate a positive or negative stance.
593,neutral,the tweet provides factual information about updates on covid-19 treatments and vaccine development without expressing any personal opinion or stance towards vaccination.
594,neutral,"the tweet discusses a historical event involving a fake vaccination program used as a cover for intelligence operations. it does not express any clear stance towards vaccination itself, either positive or negative."
595,neutral,"the tweet simply mentions the presence of a 'vaxxed bus' in a location without expressing any opinion or stance towards vaccination. it is factual and does not indicate support, opposition, or any other sentiment towards vaccines."
596,neutral,"the tweet is a factual statement about the restart of badger vaccination. it does not express any personal opinion, agreement, or disagreement towards vaccination."
597,neutral,the tweet is a factual statement about an event involving the purchase of a dengue vaccine. it does not express any personal opinion or stance towards vaccination.
598,neutral,the tweet is a factual statement about a new flu vaccine skin patch and does not express any personal opinion or stance towards vaccination.
599,positive,"the user expresses a strong willingness and enthusiasm to vaccinate people against covid-19, even under challenging conditions. this demonstrates a positive stance towards vaccination."
600,neutral,"the tweet questions the claim about the vaccine's readiness by a specific date and criticizes it as being against medical science. however, it does not express a clear stance for or against vaccination itself, making it neutral."
601,neutral,the tweet is a factual statement about drugs and vaccines in development for the coronavirus outbreak. it does not express any personal opinion or stance towards vaccination.
602,neutral,the tweet does not express a clear stance towards vaccination. it discusses statements made by trump and usa doctors without indicating the user's agreement or disagreement with vaccines.
603,neutral,the tweet is a factual statement about schools encouraging vaccination before the academic year starts. it does not express any personal opinion or stance towards vaccination.
604,neutral,the tweet is a factual statement about a heroin vaccine's effect in animals and does not express any personal opinion or stance towards vaccination.
605,neutral,"the tweet expresses frustration or stress related to discussions about vaccines on the internet, but it does not clearly indicate a positive or negative stance towards vaccination itself. the user's stance remains ambiguous."
606,positive,"the user is expressing anger and frustration towards the low vaccination rates in wealthy l.a. schools, which implies a positive stance towards vaccination. the sarcastic remark about 'killing our kids' highlights the user's disapproval of the low vaccination rates and the potential harm it could cause."
607,neutral,the tweet is a factual statement about a new front in the battle against hepatitis a in metro detroit jails. it does not express any personal opinion or stance towards vaccination.
608,positive,"the user expresses hope and anticipation towards the covid vaccine, indicating a positive stance towards vaccination."
609,neutral,the tweet does not express a clear stance towards vaccination. the mention of 'unvaccinated' is used metaphorically to describe the word 'schranz' and does not reflect the user's opinion on vaccines or vaccination.
610,negative,"the tweet implies criticism of government vaccine policies by associating them with violations of the nuremberg code and using hashtags like #coercion, #bullying, and #medicalfreedom. this suggests a negative stance towards vaccination policies."
611,negative,"the user expresses a negative stance towards vaccine passports, equating them to a social credit system and questioning their purpose. this implies a broader negative attitude towards vaccination-related policies."
612,neutral,the tweet is a factual statement about the progress of a covid-19 vaccine in clinical trials. it does not express a personal opinion or stance towards vaccination.
613,neutral,the tweet is factual and does not express any personal opinion or stance towards vaccination. it simply states that twitter will direct vaccine-related searches to a credible source.
614,neutral,the tweet is a factual statement about a new challenge launched by scientists to combat the anti-vax movement. it does not explicitly express the user's personal stance towards vaccination.
615,positive,"the user is being ironic and dismissive of the idea that immigrants are to blame, while highlighting the progress of vaccination in the u.s. this suggests a positive stance towards vaccination."
616,neutral,the tweet does not express a clear stance towards vaccination. it mentions a 'fakenews vaccine' in a metaphorical or non-literal sense and does not provide any indication of the user's opinion on actual vaccines or vaccinations.
617,neutral,the tweet provides factual information about the availability of the flu vaccine and where it can be obtained. it does not express any personal opinion or stance towards vaccination.
618,neutral,"the tweet is a factual statement about the approval of the pfizer-biontech vaccine in mexico. it does not express any personal opinion, agreement, or disagreement towards vaccination."
619,neutral,the tweet is a factual statement about a conference on vaccine research and does not express any personal opinion or stance towards vaccination.
620,negative,"the user is suggesting that people should pay for the vaccine, which implies a negative stance towards vaccination as it could discourage accessibility and availability of the vaccine to the general population."
621,positive,"the user expresses a positive stance towards the availability of vaccines by acknowledging the development of two vaccines as a notable event. despite the mixed sentiment in the tweet, the mention of vaccines is framed in a way that suggests progress or relief."
622,neutral,the tweet announces a discussion about skepticism in the black community towards the covid-19 vaccine but does not explicitly express a positive or negative stance towards vaccination. it is informational and does not indicate the user's personal opinion.
623,neutral,the tweet is simply sharing a new post about an informative speech on the flu vaccine without expressing any personal opinion or stance towards vaccination.
624,neutral,"the tweet is reporting on a study about beliefs and their influence on vaccine acceptance. it does not express any personal opinion or stance towards vaccination, nor does it meet the criteria for positive or negative classification."
625,neutral,"the tweet is a factual statement about the government starting an emergency polio vaccination drive. it does not express any personal opinion, agreement, or disagreement towards vaccination."
626,neutral,the tweet shares a positive sentiment about a review article on covid-19 vaccine strategies but does not explicitly express a stance towards vaccination itself. it is more focused on the quality of the review rather than the vaccines.
627,neutral,"the tweet is a factual statement about jonas salk, the creator of the polio vaccine, and does not express any clear stance towards vaccination itself."
628,neutral,"the tweet is a factual statement about the government releasing funds for nationwide vaccination. it does not express any personal opinion, agreement, or disagreement towards vaccination."
629,negative,"the user expresses disapproval of the radio host's bias towards the vaccine, indicating a negative stance towards vaccination."
630,neutral,the tweet is a factual statement about government advisors supporting the extension of the hpv vaccine to boys. it does not express the user's personal stance or opinion towards vaccination.
631,positive,"the user is expressing anger and frustration over the lack of covid-19 vaccines, which indicates a positive stance towards vaccination as they are upset about the limited availability."
632,neutral,the tweet is a factual statement about the stock market's reaction to covid-19 infections and vaccine hopes. it does not express any personal stance or opinion towards vaccination.
633,neutral,the tweet is a factual statement about the first patient receiving the oxford vaccine and does not express any personal opinion or stance towards vaccination.
634,neutral,"the tweet reports a factual statement about a trial tb vaccine without expressing any personal opinion or stance towards vaccination. it does not indicate support, opposition, or any emotional reaction towards vaccines."
635,neutral,"the tweet provides factual information about vaccination practices and does not express a clear positive or negative stance towards vaccination. it does not include any personal opinion, agreement, or disagreement with vaccination."
636,positive,"the user is sharing an incident where someone is trying to argue with them over a vaccination article they shared. the fact that the user shared a vaccination article suggests a positive stance towards vaccination, as they are likely promoting or supporting the information in the article."
637,positive,"the user is angry and not happy about the lack of availability of vaccine raw materials, which indicates a positive stance towards vaccination as they are advocating for the materials needed to produce vaccines."
638,neutral,the tweet is factual and provides a reference to information about the mmr vaccine without expressing any personal opinion or stance towards vaccination.
639,neutral,"the tweet discusses the novelty of mrna vaccine technology and compares it to the early days of car manufacturing. it does not express a clear positive or negative stance towards vaccination, nor does it align with any of the specific criteria for positive or negative classification."
640,positive,"the user is expressing frustration about the shortage of a vaccine and the distribution favoring corporates over independents. this indicates a desire for more vaccine availability, which aligns with a positive stance towards vaccination."
641,positive,"the user expresses a positive stance towards vaccination by highlighting that the nsa is finally getting vaccinated, implying approval or relief that this is happening, even if the tone of the tweet is sarcastic or humorous."
642,neutral,the tweet expresses frustration or anger but does not provide enough context to determine whether the user is for or against vaccination. the hashtags and the word 'idiocy' do not clarify the user's stance towards vaccines.
643,neutral,the tweet does not explicitly express a stance towards vaccination. the user mentions not being an anti-vaxxer but does not provide any further context or opinion that would classify their stance as positive or negative.
644,negative,the user is expressing disdain towards the vaccine by calling the virus 'fake' and criticizing those receiving the vaccine. this indicates a negative stance towards vaccination.
645,neutral,"the tweet is a factual statement about the death of ruth nussenzweig, who worked on a malaria vaccine. it does not express any opinion or stance towards vaccination."
646,positive,the user is expressing frustration towards people politicizing the vaccine and is advocating for respect towards the scientific community. this indicates a positive stance towards vaccination.
647,neutral,"the tweet discusses a vaccination card system in manitoba and its limited use due to rolled-back restrictions. the user does not express a clear positive or negative stance towards vaccination itself, but rather comments on the policy and its implementation."
648,neutral,the tweet is a factual statement clarifying that a specific executive order is related to flu vaccine modernization and not mandating a vaccine. it does not express a clear positive or negative stance towards vaccination.
649,neutral,the tweet provides factual information about the administration of the vaccine at a specific location and mentions the chairman's name. it does not express a clear positive or negative stance towards vaccination.
650,neutral,"the tweet does not express a clear stance towards vaccination. it uses the term 'vaccine' metaphorically in the context of addressing bullying, rather than discussing actual vaccines or vaccination."
651,negative,"the tweet refers to novak djokovic as an 'anti-vaxxer' and criticizes the lack of social distancing at the event he participated in. this indicates a negative stance towards vaccination, as the user appears to disapprove of djokovic's perceived anti-vaccine stance."
652,neutral,the tweet is a factual statement about the europe peptide cancer vaccine market and does not express any personal opinion or stance towards vaccination.
653,neutral,"the tweet is a factual statement about the nipah virus, mentioning the first-ever case, symptoms, and treatment. it does not express any stance towards vaccination or vaccines."
654,neutral,"the tweet is a factual statement about the beginning of a late-stage study for a single-shot vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
655,negative,"the tweet highlights a situation where a school is threatening to involve child protective services (cps) over non-compliance with a mandatory vaccination law. this suggests a negative stance towards vaccination, as it implies opposition or resistance to the enforcement of vaccination mandates."
656,neutral,the tweet is a factual statement about anti-vaccination activists being present at virus protests. it does not express the user's personal stance towards vaccination.
657,neutral,the tweet uses the term 'vaccine' metaphorically to describe a personal coping mechanism and does not express any stance towards actual vaccines or vaccination.
658,neutral,the tweet provides factual information about a measles outbreak in an anti-vaccination hot spot without expressing any personal opinion or stance towards vaccination.
659,neutral,the tweet is factual and does not express any personal opinion or sentiment towards vaccination. it simply states that experts provided vaccine data to toronto city councillors.
660,neutral,"the tweet is a factual statement about hampshire schools offering the men acwy meningitis vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
661,neutral,"the tweet is a factual statement about pfizer seeking fda emergency approval for a vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
662,neutral,"the tweet is a factual statement about marines and sailors receiving the covid-19 vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
663,neutral,the tweet provides factual information about a fine imposed on a vaccine maker in china due to a safety scandal. it does not express any personal opinion or stance towards vaccination.
664,neutral,the tweet is about a toolkit to prevent flu and does not express any stance towards vaccination. it is informational and does not include any positive or negative sentiment towards vaccines.
665,positive,"the tweet criticizes fake research that catalyzed the anti-vaccination movement, which implies a positive stance towards vaccination by opposing misinformation that undermines it."
666,positive,"the user expresses hope and anticipation towards receiving the vaccine, as well as a desire to be selected for it sooner. this indicates a positive stance towards vaccination."
667,neutral,"the tweet reports on a legal case involving non-vaccinating parents and their son's death, but it does not explicitly express a stance towards vaccination. it focuses on the legal and medical aspects of the case without showing support or opposition to vaccines."
668,neutral,"the tweet provides factual information about novavax's updates to their vaccine programs without expressing any personal opinion, sentiment, or stance towards vaccination."
669,neutral,"the tweet provides factual information about an influenza vaccine update for the 2017-2018 season, without expressing any personal opinion or stance towards vaccination."
670,neutral,"the tweet is factual and objective, providing information about a study on antibody responses to hpv vaccination in hiv-infected young women. there is no clear expression of the user's stance towards vaccination."
671,neutral,"the tweet is a factual statement about geovax publishing zika vaccine study results. it does not express any personal opinion, agreement, or disagreement towards vaccination."
672,neutral,"the tweet is a factual statement about gov. desantis taking action against vaccine passports. it does not explicitly express the user's stance towards vaccination or vaccine passports, nor does it include any emotional or subjective commentary."
673,neutral,"the tweet provides information about a change in vaccine-related policies in ontario, canada, but does not express a clear stance or opinion towards vaccination. it is factual and does not indicate support or opposition to vaccines."
674,neutral,"the tweet does not express a clear stance towards vaccination. the focus is on the user's determination to vote despite various challenges, including covid-19, but it does not explicitly support or oppose vaccines."
675,positive,"the user expresses anger towards the attack on nurses during a vaccination drive, which implies support for the vaccination effort and disapproval of the attack. this aligns with a positive stance towards vaccination."
676,positive,"despite the negative sentiment and frustration expressed in the tweet, the user is describing a situation where people, including the 'geezer,' are actively getting vaccinated. the user does not express opposition to vaccination itself, and the context implies that the vaccine is being sought after, which aligns with a positive stance towards vaccination."
677,neutral,the tweet is a factual statement about trump's claim of taking hydroxychloroquine and his statement about a coronavirus vaccine announcement. it does not express any clear stance towards vaccination.
678,neutral,"the tweet is a factual statement about a new state law requiring mandatory flu vaccines for children. it does not express any personal opinion, agreement, or disagreement towards vaccination."
679,positive,"the user is celebrating receiving the covid vaccine, which indicates a positive stance towards vaccination."
680,neutral,the tweet is a factual statement about flu vaccination rates falling in a state. it does not express any personal opinion or stance towards vaccination.
681,neutral,the tweet shares a factual statement about a study on south africans' willingness to get a covid-19 vaccine. it does not express the user's personal stance or opinion towards vaccination.
682,positive,"the user expresses excitement and positivity about receiving the first round of their covid vaccine, indicated by the use of 'yay' and celebratory emojis. this demonstrates a positive stance towards vaccination."
683,neutral,the tweet is a factual statement about the severity of the h3n2 flu strain and does not express any opinion or stance towards vaccination.
684,neutral,the tweet does not explicitly express a positive or negative stance towards vaccination. it is ambiguous and does not provide enough context to determine the user's opinion on vaccines.
685,negative,"the user appears to be dismissive or indifferent towards someone not taking the covid vaccine, which suggests a negative stance towards vaccination."
686,neutral,the tweet is factual and reports on the distribution of an ebola vaccine in high-risk areas. it does not express a personal opinion or stance towards vaccination.
687,neutral,"the tweet is a factual and objective statement listing headlines, including one about a vaccine roll-out challenge. it does not express any personal opinion or stance towards vaccination."
688,negative,"the user is expressing a negative stance towards vaccines by associating them with forced administration, population reduction, and rfid, which are common conspiracy theories. this indicates a clear opposition to vaccination."
689,positive,"the user expresses frustration towards the statement about lockdown until a vaccine is developed, which implies the importance of the vaccine in resolving the situation. this indicates a positive stance towards vaccination as a solution."
690,neutral,"the tweet provides information on how to read a package insert for a vaccine and includes hashtags supporting vaccines, but it does not explicitly express a personal stance or opinion towards vaccination."
691,positive,"the user is being ironic about people who are negative towards vaccines, implying that concerns about the vaccine are unfounded or inconsistent. this aligns with a positive stance towards vaccination."
692,neutral,the tweet is a factual statement about california's new vaccine rules and their impact on kindergartners. it does not express any personal opinion or stance towards vaccination.
693,neutral,the tweet does not explicitly express a stance towards vaccination. it raises a question about potential motives behind certain actions but does not directly address vaccines or vaccination in a positive or negative manner.
694,negative,"the tweet mentions that the african restoration alliance, an offshoot of acdp, has put out anti-vaccine messaging. this indicates a negative stance towards vaccination."
695,neutral,"the tweet does not express a clear stance towards vaccination. it mentions digging into the pfizer vaccine and provides a link for further information, but it does not indicate whether the user supports or opposes vaccination."
696,negative,the user expresses concern or disapproval about healthcare professionals in the philippines being 'forced' to get the vaccine. this indicates a negative stance towards vaccination in this context.
697,positive,"the user is expressing anticipation and eagerness for the vaccine, as they are asking about the reopening of schools, which implies a positive stance towards the vaccine and its role in returning to normalcy."
698,neutral,"the tweet is a factual statement about the u.s. relaxing travel restrictions for vaccinated foreign air travelers. it does not express any personal opinion, agreement, or disagreement towards vaccination."
699,neutral,the tweet is a news-like statement about a patent war involving a digital vaccine. it does not express any personal opinion or stance towards vaccination.
700,neutral,"the tweet is a factual statement about china's sinopharm starting a late-stage trial of a covid-19 vaccine in the uae. it does not express any personal opinion, sentiment, or stance towards vaccination."
701,neutral,"the tweet is a factual and objective statement about an interview covering various topics, including vaccine trials. there is no clear expression of a positive or negative stance towards vaccination."
702,neutral,the tweet discusses the importance of protecting patients in clinical research but does not explicitly express a stance towards vaccination. it is a general statement about clinical research ethics.
703,positive,"the user is being ironic about people who deny evolution and, by extension, the need for updated vaccines. this irony suggests a positive stance towards vaccination and the scientific understanding of viruses evolving."
704,neutral,the tweet is a factual statement about facebook enabling ads targeting users interested in 'vaccine controversies'. it does not express a clear stance of the user towards vaccination.
